,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
625,WSW,SSW,0.3,1054,140,201303111500,25.0,0.0,0.0,농산폐기물소각,전남,201303111320,보산,전남,산42, ,나주,월, ,5.0,7,82.0,87.0,12.8,1.5,2.7
626,S,NNW,0.1,2756,40,201303111330,26.0,0.0,0.0,농산폐기물소각,강원,201303111250,양구,강원,산86,군량,양구,월, ,7.5,7,54.5,76.0,6.9,2.5,2.9
627,ESE,E,0.1,380,30,201303111315,50.0,0.0,0.0,입산자실화,부산,201303111245,서,부산,산108, ,금정,월, ,8.0,7,61.9,64.0,11.7,3.8,4.9
628,W,WSW,1.0,34230,1255,201303110855,31.0,0.0,0.0,무속인실화 추정,경북,201303102000,청리,경북,산35-1,가천,상주,일, ,5.5,7,67.9,80.0,4.0,4.9,4.1
629,NE,NW,0.3,486,150,201303101720,62.0,0.0,0.0,밭두렁소각,전남,201303101530,신북,전남,산76-3,이천,영암,일, ,7.6,7,87.4,94.0,4.6,10.0,8.4
630,NW, ,0.8,9695,30,201303101530,11.0,0.0,0.0,농산폐기물소각,전남,201303101500,문덕,전남,산934-3,귀산,보성,일, ,4.0,9,85.1,94.0,14.5,6.5,0.0
631,W,WNW,0.03,0,29,201303101519,21.0,0.0,0.0,밭두렁소각,서울,201303101450,내곡,서울,산12-415, ,서초,일, ,3.5,7,73.3,86.0,4.2,4.7,3.9
632,WSW,N,1.0,48980,220,201303101615,20.0,0.0,0.0,담뱃불실화,경북,201303101355,안덕,경북,산3,문거,청송,일, ,0.5,7,77.4,87.0,11.3,4.7,6.1
633,NE,WNW,10.0,50000,345,201303101700,8.0,0.0,0.0,쓰레기소각,경남,201303101315,위천,경남,산23-3,당산,거창,일, ,1.5,8,73.6,94.0,13.2,6.3,5.8
634,W,W,0.2,0,213,201303101450,28.0,0.0,0.0,쓰레기소각,충남,201303101237,복수,충남,산53-2,신대,금산,일, ,10.0,7,53.0,66.0,7.9,2.6,3.3
635,WSW,W,0.3,252,310,201303100420,51.0,0.0,0.0,주택화재비화,전북,201303100110,산내,전북,산69-3,중황,남원,일, ,6.0,6,36.9,56.0,14.3,2.6,1.5
636,WNW,S,50.0,8765419,1530,201303101200,44.0,0.0,0.0,쓰레기소각,울산,201303092030,상북,울산,산304,향산,울주,토, ,6.5,7,71.5,92.0,19.0,3.4,13.6
637,SW,WSW,0.5,4370,229,201303091855,25.0,0.0,0.0,쓰레기소각,충북,201303091626,북이,충북,산50-1,대길,청원군,토, ,0.5,2,78.8,87.0,25.7,4.6,8.2
